ID,h02_laba_1,h02_laba_2,h02_laba_3,h02_slikta_1,h02_slikta_2,h02_slikta_3,h08_tx1,h08_tx2,h08_tx3
1,starptautiska pieredze, , , , , ,98, , 
2,izglītības iespējas,aizsardzības drošība, , , , ,kultūras jomā,studentu apmaiņas programmā, 
3,ES projekti,ceļošana vieglāka,valūta, , , ,ceļošana, , 
4,drošības sajūta,ceļošana,izglītošanās, , , ,rakstījusi ES projektus, , 
5,alianse,"iespējas (izglītība, ceļošana)",Šengenas līgums, , , ,ceļošana bez pases kontroles, , 
6,98, , , , , ,devos ārpus Latvijas, , 
7,vienota valūta,var ceļot,projektu finansēšana, , , ,98, , 
10,sociālā aizsardzība,ceļošanas brīvība,darba izvēles brīvība, , , ,strādājis Eiropā, , 
11,brīvi tirdzniecības pakalpojumi,brīvs biznesa tirgus,vienota valūta, , , ,brīvi pārvietojies pa Eiropu, , 
12,palīdzība finansiālā jomā, , , , , ,varbūt kādu finansiālu pabalstu esmu saņēmusi, , 
13,ceļošanas brīvība,darba izvēles brīvība,eiro, , , ,ceļojusi pa Eiropu,nedaudz pastrādājusi Eiropā, 
14,drošības ziņā ir ieguvums,brīvs tirgus, , , , ,neesmu izmantojusi, , 
18,atbalsts,viss vienots,brīva ceļošana, , , ,piestrādāju Eiropā,brīvi ceļojusi pa Eiropu, 
19,sociālā un finansiālā palīdzība,atbalsts mazāk aizsargātiem cilvēkiem, , , , ,izmantoju bezvīzu režīmu ar Ukrainu, , 
22,var iegūt augstāko izglītību un mācīties brīvi Eiropā,arī ceļot pa Eiropu, , , , ,brīvi pārvietojusies pa Eiropu, , 
25,vienota valūta,brīva pārvietošanās, , , , ,98, , 
26,var dabūt kādu finansiālu atbalstu ekonomikas attīstībai,var brīvi ceļot un strādāt Eiropā, , , , ,izmantoju ceļošanu brīvu pa Eiropu, , 
27,ieguvumi no Eiropas piešķirtās naudas, , , , , ,neko neesmu izmantojusi, , 
29,ir brīva domāšana un pārvietošanās pa ES,kopēja valūta, , , , ,izglītība,ceļošana,pasākumi
34,var mācīties pēc ES programmām,ceļot brīvi pa ES valstīm,vienota valūta, , , ,"visa mana dzīve ir ES, savādāk nemaz nezinu kā dzīvot, visu, ko piedāvā ES, izmantoju, kas atbilst manām vajadzībām", , 
